strain;region;country
USA/MI-CDC-STM-000003052/2021;North America;USA
USA/MI-CDC-STM-000003547/2021;North America;USA
USA/MI-CDC-STM-000004147/2021;North America;USA
USA/MI-CDC-STM-000004233/2021;North America;USA
USA/MI-CDC-STM-000004377/2021;North America;USA
USA/MI-CDC-STM-000005044/2021;North America;USA
USA/MI-CDC-STM-000005366/2021;North America;USA
USA/MI-CDC-STM-000005445/2021;North America;USA
USA/MI-CDC-STM-000005627/2021;North America;USA
USA/MI-CDC-STM-000005925/2021;North America;USA
USA/MI-CDC-STM-000007292/2021;North America;USA
USA/MI-CDC-STM-000007853/2021;North America;USA
USA/MI-CDC-STM-000007874/2021;North America;USA
USA/MI-CDC-STM-000007877/2021;North America;USA
USA/MI-CDC-STM-000008013/2021;North America;USA
USA/MI-CDC-STM-000008066/2021;North America;USA
USA/MI-CDC-STM-000008119/2021;North America;USA
USA/MI-CDC-STM-000008131/2021;North America;USA
USA/MI-CDC-STM-000008161/2021;North America;USA
USA/MI-CDC-STM-000008239/2021;North America;USA
USA/MI-CDC-STM-000008873/2021;North America;USA
USA/MI-CDC-STM-000008887/2021;North America;USA
USA/MI-CDC-STM-000009285/2021;North America;USA
USA/MI-CDC-STM-000009843/2021;North America;USA
USA/MI-CDC-STM-000009856/2021;North America;USA
USA/MI-CDC-STM-000009857/2021;North America;USA
USA/MI-CDC-STM-000010212/2021;North America;USA
USA/MI-CDC-STM-000010245/2021;North America;USA
USA/MI-CDC-STM-000010455/2021;North America;USA
USA/MI-CDC-STM-000010568/2021;North America;USA
USA/MI-CDC-STM-000010571/2021;North America;USA
USA/MI-CDC-STM-000010594/2021;North America;USA
USA/MI-CDC-STM-000011051/2021;North America;USA
USA/MI-CDC-STM-000011087/2021;North America;USA
USA/MI-CDC-STM-290/2021;North America;USA
USA/MI-CDC-STM-297/2021;North America;USA
USA/MI-CDC-STM-304/2021;North America;USA
USA/MI-CDC-STM-375/2021;North America;USA
USA/MI-CDC-STM-A100053/2021;North America;USA
USA/MI-CDC-STM-A100194/2021;North America;USA
USA/MI-CDC-STM-A100223/2021;North America;USA
USA/MI-CDC-STM-A100236/2021;North America;USA
USA/MI-CDC-STM-A100322/2021;North America;USA
USA/MI-CDC-STM-A100339/2021;North America;USA
USA/MI-CDC-STM-A100356/2021;North America;USA
USA/MI-CDC-STM-A100393/2021;North America;USA
USA/MI-CDC-STM-A100412/2021;North America;USA
USA/MI-MDHHS-SC20010/2020;North America;USA
USA/MI-MDHHS-SC20011/2020;North America;USA
USA/MI-MDHHS-SC20012/2020;North America;USA
USA/MI-MDHHS-SC20013/2020;North America;USA
USA/MI-MDHHS-SC20014/2020;North America;USA
USA/MI-MDHHS-SC20015/2020;North America;USA
USA/MI-MDHHS-SC20016/2020;North America;USA
USA/MI-MDHHS-SC20017/2020;North America;USA
USA/MI-MDHHS-SC20018/2020;North America;USA
USA/MI-MDHHS-SC20019/2020;North America;USA
USA/MI-MDHHS-SC20020/2020;North America;USA
USA/MI-MDHHS-SC20021/2020;North America;USA
USA/MI-MDHHS-SC20022/2020;North America;USA
USA/MI-MDHHS-SC20023/2020;North America;USA
USA/MI-MDHHS-SC20024/2020;North America;USA
USA/MI-MDHHS-SC20025/2020;North America;USA
USA/MI-MDHHS-SC20026/2020;North America;USA
USA/MI-MDHHS-SC20027/2020;North America;USA
USA/MI-MDHHS-SC20028/2020;North America;USA
USA/MI-MDHHS-SC20029/2020;North America;USA
USA/MI-MDHHS-SC20030/2020;North America;USA
USA/MI-MDHHS-SC20031/2020;North America;USA
USA/MI-MDHHS-SC20032/2020;North America;USA
USA/MI-MDHHS-SC20033/2020;North America;USA
USA/MI-MDHHS-SC20034/2020;North America;USA
USA/MI-MDHHS-SC20035/2020;North America;USA
USA/MI-MDHHS-SC20036/2020;North America;USA
USA/MI-MDHHS-SC20037/2020;North America;USA
USA/MI-MDHHS-SC20038/2020;North America;USA
USA/MI-MDHHS-SC20039/2020;North America;USA
USA/MI-MDHHS-SC20040/2020;North America;USA
USA/MI-MDHHS-SC20041/2020;North America;USA
USA/MI-MDHHS-SC20042/2020;North America;USA
USA/MI-MDHHS-SC20043/2020;North America;USA
USA/MI-MDHHS-SC20044/2020;North America;USA
USA/MI-MDHHS-SC20045/2020;North America;USA
USA/MI-MDHHS-SC20046/2020;North America;USA
USA/MI-MDHHS-SC20047/2020;North America;USA
USA/MI-MDHHS-SC20048/2020;North America;USA
USA/MI-MDHHS-SC20049/2020;North America;USA
USA/MI-MDHHS-SC20050/2020;North America;USA
USA/MI-MDHHS-SC20051/2020;North America;USA
USA/MI-MDHHS-SC20052/2020;North America;USA
USA/MI-MDHHS-SC20053/2020;North America;USA
USA/MI-MDHHS-SC20054/2020;North America;USA
USA/MI-MDHHS-SC20055/2020;North America;USA
USA/MI-MDHHS-SC20056/2020;North America;USA
USA/MI-MDHHS-SC20057/2020;North America;USA
USA/MI-MDHHS-SC20058/2020;North America;USA
USA/MI-MDHHS-SC20059/2020;North America;USA
USA/MI-MDHHS-SC20060/2020;North America;USA
USA/MI-MDHHS-SC20061/2020;North America;USA
USA/MI-MDHHS-SC20062/2020;North America;USA
USA/MI-MDHHS-SC20063/2020;North America;USA
USA/MI-MDHHS-SC20064/2020;North America;USA
USA/MI-MDHHS-SC20065/2020;North America;USA
USA/MI-MDHHS-SC20066/2020;North America;USA
USA/MI-MDHHS-SC20067/2020;North America;USA
USA/MI-MDHHS-SC20068/2020;North America;USA
USA/MI-MDHHS-SC20069/2020;North America;USA
USA/MI-MDHHS-SC20070/2020;North America;USA
USA/MI-MDHHS-SC20071/2020;North America;USA
USA/MI-MDHHS-SC20072/2020;North America;USA
USA/MI-MDHHS-SC20073/2020;North America;USA
USA/MI-MDHHS-SC20074/2020;North America;USA
USA/MI-MDHHS-SC20075/2020;North America;USA
USA/MI-MDHHS-SC20076/2020;North America;USA
USA/MI-MDHHS-SC20077/2020;North America;USA
USA/MI-MDHHS-SC20078/2020;North America;USA
USA/MI-MDHHS-SC20079/2020;North America;USA
USA/MI-MDHHS-SC20080/2020;North America;USA
USA/MI-MDHHS-SC20081/2020;North America;USA
USA/MI-MDHHS-SC20082/2020;North America;USA
USA/MI-MDHHS-SC20083/2020;North America;USA
USA/MI-MDHHS-SC20084/2020;North America;USA
USA/MI-MDHHS-SC20085/2020;North America;USA
USA/MI-MDHHS-SC20086/2020;North America;USA
USA/MI-MDHHS-SC20087/2020;North America;USA
USA/MI-MDHHS-SC20088/2020;North America;USA
USA/MI-MDHHS-SC20089/2020;North America;USA
USA/MI-MDHHS-SC20090/2020;North America;USA
USA/MI-MDHHS-SC20091/2020;North America;USA
USA/MI-MDHHS-SC20092/2020;North America;USA
USA/MI-MDHHS-SC20093/2020;North America;USA
USA/MI-MDHHS-SC20094/2020;North America;USA
USA/MI-MDHHS-SC20095/2020;North America;USA
USA/MI-MDHHS-SC20096/2020;North America;USA
USA/MI-MDHHS-SC20097/2020;North America;USA
USA/MI-MDHHS-SC20098/2020;North America;USA
USA/MI-MDHHS-SC20099/2020;North America;USA
USA/MI-MDHHS-SC20100/2020;North America;USA
USA/MI-MDHHS-SC20101/2020;North America;USA
USA/MI-MDHHS-SC20102/2020;North America;USA
USA/MI-MDHHS-SC20103/2020;North America;USA
USA/MI-MDHHS-SC20104/2020;North America;USA
USA/MI-MDHHS-SC20105/2020;North America;USA
USA/MI-MDHHS-SC20106/2020;North America;USA
USA/MI-MDHHS-SC20107/2020;North America;USA
USA/MI-MDHHS-SC20108/2020;North America;USA
USA/MI-MDHHS-SC20109/2020;North America;USA
USA/MI-MDHHS-SC20110/2020;North America;USA
USA/MI-MDHHS-SC20111/2020;North America;USA
USA/MI-MDHHS-SC20112/2020;North America;USA
USA/MI-MDHHS-SC20113/2020;North America;USA
USA/MI-MDHHS-SC20114/2020;North America;USA
USA/MI-MDHHS-SC20115/2020;North America;USA
USA/MI-MDHHS-SC20116/2020;North America;USA
USA/MI-MDHHS-SC20117/2020;North America;USA
USA/MI-MDHHS-SC20118/2020;North America;USA
USA/MI-MDHHS-SC20119/2020;North America;USA
USA/MI-MDHHS-SC20120/2020;North America;USA
USA/MI-MDHHS-SC20121/2020;North America;USA
USA/MI-MDHHS-SC20122/2020;North America;USA
USA/MI-MDHHS-SC20123/2020;North America;USA
USA/MI-MDHHS-SC20124/2020;North America;USA
USA/MI-MDHHS-SC20125/2020;North America;USA
USA/MI-MDHHS-SC20126/2020;North America;USA
USA/MI-MDHHS-SC20127/2020;North America;USA
USA/MI-MDHHS-SC20128/2020;North America;USA
USA/MI-MDHHS-SC20129/2020;North America;USA
USA/MI-MDHHS-SC20130/2020;North America;USA
USA/MI-MDHHS-SC20131/2020;North America;USA
USA/MI-MDHHS-SC20132/2020;North America;USA
USA/MI-MDHHS-SC20133/2020;North America;USA
USA/MI-MDHHS-SC20134/2020;North America;USA
USA/MI-MDHHS-SC20135/2020;North America;USA
USA/MI-MDHHS-SC20136/2020;North America;USA
USA/MI-MDHHS-SC20137/2020;North America;USA
USA/MI-MDHHS-SC20138/2020;North America;USA
USA/MI-MDHHS-SC20139/2020;North America;USA
USA/MI-MDHHS-SC20140/2020;North America;USA
USA/MI-MDHHS-SC20141/2020;North America;USA
USA/MI-MDHHS-SC20142/2020;North America;USA
USA/MI-MDHHS-SC20143/2020;North America;USA
USA/MI-MDHHS-SC20144/2020;North America;USA
USA/MI-MDHHS-SC20145/2020;North America;USA
USA/MI-MDHHS-SC20146/2020;North America;USA
USA/MI-MDHHS-SC20147/2020;North America;USA
USA/MI-MDHHS-SC20148/2020;North America;USA
USA/MI-MDHHS-SC20149/2020;North America;USA
USA/MI-MDHHS-SC20150/2020;North America;USA
USA/MI-MDHHS-SC20151/2020;North America;USA
USA/MI-MDHHS-SC20152/2020;North America;USA
USA/MI-MDHHS-SC20153/2020;North America;USA
USA/MI-MDHHS-SC20154/2020;North America;USA
USA/MI-MDHHS-SC20155/2020;North America;USA
USA/MI-MDHHS-SC20156/2020;North America;USA
USA/MI-MDHHS-SC20157/2020;North America;USA
USA/MI-MDHHS-SC20158/2020;North America;USA
USA/MI-MDHHS-SC20159/2020;North America;USA
USA/MI-MDHHS-SC20160/2020;North America;USA
USA/MI-MDHHS-SC20161/2020;North America;USA
USA/MI-MDHHS-SC20162/2020;North America;USA
USA/MI-MDHHS-SC20163/2020;North America;USA
USA/MI-MDHHS-SC20164/2020;North America;USA
USA/MI-MDHHS-SC20165/2020;North America;USA
USA/MI-MDHHS-SC20166/2020;North America;USA
USA/MI-MDHHS-SC20167/2020;North America;USA
USA/MI-MDHHS-SC20168/2020;North America;USA
USA/MI-MDHHS-SC20169/2020;North America;USA
USA/MI-MDHHS-SC20170/2020;North America;USA
USA/MI-MDHHS-SC20171/2020;North America;USA
USA/MI-MDHHS-SC20172/2020;North America;USA
USA/MI-MDHHS-SC20173/2020;North America;USA
USA/MI-MDHHS-SC20174/2020;North America;USA
USA/MI-MDHHS-SC20175/2020;North America;USA
USA/MI-MDHHS-SC20176/2020;North America;USA
USA/MI-MDHHS-SC20177/2020;North America;USA
USA/MI-MDHHS-SC20178/2020;North America;USA
USA/MI-MDHHS-SC20179/2020;North America;USA
USA/MI-MDHHS-SC20180/2020;North America;USA
USA/MI-MDHHS-SC20181/2020;North America;USA
USA/MI-MDHHS-SC20182/2020;North America;USA
USA/MI-MDHHS-SC20183/2020;North America;USA
USA/MI-MDHHS-SC20184/2020;North America;USA
USA/MI-MDHHS-SC20185/2020;North America;USA
USA/MI-MDHHS-SC20186/2020;North America;USA
USA/MI-MDHHS-SC20187/2020;North America;USA
USA/MI-MDHHS-SC20188/2020;North America;USA
USA/MI-MDHHS-SC20189/2020;North America;USA
USA/MI-MDHHS-SC20190/2020;North America;USA
USA/MI-MDHHS-SC20191/2020;North America;USA
USA/MI-MDHHS-SC20192/2020;North America;USA
USA/MI-MDHHS-SC20193/2020;North America;USA
USA/MI-MDHHS-SC20194/2020;North America;USA
USA/MI-MDHHS-SC20195/2020;North America;USA
USA/MI-MDHHS-SC20196/2020;North America;USA
USA/MI-MDHHS-SC20197/2020;North America;USA
USA/MI-MDHHS-SC20198/2020;North America;USA
USA/MI-MDHHS-SC20199/2020;North America;USA
USA/MI-MDHHS-SC20200/2020;North America;USA
USA/MI-MDHHS-SC20201/2020;North America;USA
USA/MI-MDHHS-SC20202/2020;North America;USA
USA/MI-MDHHS-SC20203/2020;North America;USA
USA/MI-MDHHS-SC20204/2020;North America;USA
USA/MI-MDHHS-SC20205/2020;North America;USA
USA/MI-MDHHS-SC20206/2020;North America;USA
USA/MI-MDHHS-SC20207/2020;North America;USA
USA/MI-MDHHS-SC20208/2020;North America;USA
USA/MI-MDHHS-SC20209/2020;North America;USA
USA/MI-MDHHS-SC20210/2020;North America;USA
USA/MI-MDHHS-SC20211/2020;North America;USA
USA/MI-MDHHS-SC20212/2020;North America;USA
USA/MI-MDHHS-SC20213/2020;North America;USA
USA/MI-MDHHS-SC20214/2020;North America;USA
USA/MI-MDHHS-SC20215/2020;North America;USA
USA/MI-MDHHS-SC20216/2020;North America;USA
USA/MI-MDHHS-SC20217/2020;North America;USA
USA/MI-MDHHS-SC20218/2020;North America;USA
USA/MI-MDHHS-SC20219/2020;North America;USA
USA/MI-MDHHS-SC20220/2020;North America;USA
USA/MI-MDHHS-SC20221/2020;North America;USA
USA/MI-MDHHS-SC20222/2020;North America;USA
USA/MI-MDHHS-SC20223/2020;North America;USA
USA/MI-MDHHS-SC20224/2020;North America;USA
USA/MI-MDHHS-SC20225/2020;North America;USA
USA/MI-MDHHS-SC20226/2020;North America;USA
USA/MI-MDHHS-SC20227/2020;North America;USA
USA/MI-MDHHS-SC20228/2020;North America;USA
USA/MI-MDHHS-SC20229/2020;North America;USA
USA/MI-MDHHS-SC20230/2020;North America;USA
USA/MI-MDHHS-SC20231/2020;North America;USA
USA/MI-MDHHS-SC20232/2020;North America;USA
USA/MI-MDHHS-SC20233/2020;North America;USA
USA/MI-MDHHS-SC20234/2020;North America;USA
USA/MI-MDHHS-SC20235/2020;North America;USA
USA/MI-MDHHS-SC20236/2020;North America;USA
USA/MI-MDHHS-SC20237/2020;North America;USA
USA/MI-MDHHS-SC20238/2020;North America;USA
USA/MI-MDHHS-SC20239/2020;North America;USA
USA/MI-MDHHS-SC20240/2020;North America;USA
USA/MI-MDHHS-SC20241/2020;North America;USA
USA/MI-MDHHS-SC20242/2020;North America;USA
USA/MI-MDHHS-SC20243/2020;North America;USA
USA/MI-MDHHS-SC20244/2020;North America;USA
USA/MI-MDHHS-SC20245/2020;North America;USA
USA/MI-MDHHS-SC20246/2020;North America;USA
USA/MI-MDHHS-SC20247/2020;North America;USA
USA/MI-MDHHS-SC20248/2020;North America;USA
USA/MI-MDHHS-SC20249/2020;North America;USA
USA/MI-MDHHS-SC20250/2020;North America;USA
USA/MI-MDHHS-SC20251/2020;North America;USA
USA/MI-MDHHS-SC20252/2020;North America;USA
USA/MI-MDHHS-SC20253/2020;North America;USA
USA/MI-MDHHS-SC20254/2020;North America;USA
USA/MI-MDHHS-SC20255/2020;North America;USA
USA/MI-MDHHS-SC20256/2020;North America;USA
USA/MI-MDHHS-SC20257/2020;North America;USA
USA/MI-MDHHS-SC20258/2020;North America;USA
USA/MI-MDHHS-SC20259/2020;North America;USA
USA/MI-MDHHS-SC20260/2020;North America;USA
USA/MI-MDHHS-SC20261/2020;North America;USA
USA/MI-MDHHS-SC20262/2020;North America;USA
USA/MI-MDHHS-SC20263/2020;North America;USA
USA/MI-MDHHS-SC20264/2020;North America;USA
USA/MI-MDHHS-SC20266/2020;North America;USA
USA/MI-MDHHS-SC20267/2020;North America;USA
USA/MI-MDHHS-SC20268/2020;North America;USA
USA/MI-MDHHS-SC20269/2020;North America;USA
USA/MI-MDHHS-SC20270/2020;North America;USA
USA/MI-MDHHS-SC20271/2020;North America;USA
USA/MI-MDHHS-SC20272/2020;North America;USA
USA/MI-MDHHS-SC20273/2020;North America;USA
USA/MI-MDHHS-SC20274/2020;North America;USA
USA/MI-MDHHS-SC20275/2020;North America;USA
USA/MI-MDHHS-SC20276/2020;North America;USA
USA/MI-MDHHS-SC20277/2020;North America;USA
USA/MI-MDHHS-SC20278/2020;North America;USA
USA/MI-MDHHS-SC20279/2020;North America;USA
USA/MI-MDHHS-SC20280/2020;North America;USA
USA/MI-MDHHS-SC20281/2020;North America;USA
USA/MI-MDHHS-SC20282/2020;North America;USA
USA/MI-MDHHS-SC20283/2020;North America;USA
USA/MI-MDHHS-SC20284/2020;North America;USA
USA/MI-MDHHS-SC20285/2020;North America;USA
USA/MI-MDHHS-SC20286/2020;North America;USA
USA/MI-MDHHS-SC20287/2020;North America;USA
USA/MI-MDHHS-SC20288/2020;North America;USA
USA/MI-MDHHS-SC20290/2020;North America;USA
USA/MI-MDHHS-SC20291/2020;North America;USA
USA/MI-MDHHS-SC20292/2020;North America;USA
USA/MI-MDHHS-SC20293/2020;North America;USA
USA/MI-MDHHS-SC20294/2020;North America;USA
USA/MI-MDHHS-SC20295/2020;North America;USA
USA/MI-MDHHS-SC20296/2020;North America;USA
USA/MI-MDHHS-SC20297/2020;North America;USA
USA/MI-MDHHS-SC20298/2020;North America;USA
USA/MI-MDHHS-SC20299/2020;North America;USA
USA/MI-MDHHS-SC20300/2020;North America;USA
USA/MI-MDHHS-SC20301/2020;North America;USA
USA/MI-MDHHS-SC20302/2020;North America;USA
USA/MI-MDHHS-SC20303/2020;North America;USA
USA/MI-MDHHS-SC20304/2020;North America;USA
USA/MI-MDHHS-SC20305/2020;North America;USA
USA/MI-MDHHS-SC20306/2020;North America;USA
USA/MI-MDHHS-SC20307/2020;North America;USA
USA/MI-MDHHS-SC20308/2020;North America;USA
USA/MI-MDHHS-SC20309/2020;North America;USA
USA/MI-MDHHS-SC20310/2020;North America;USA
USA/MI-MDHHS-SC20311/2020;North America;USA
USA/MI-MDHHS-SC20312/2020;North America;USA
USA/MI-MDHHS-SC20313/2020;North America;USA
USA/MI-MDHHS-SC20314/2020;North America;USA
USA/MI-MDHHS-SC20315/2020;North America;USA
USA/MI-MDHHS-SC20316/2020;North America;USA
USA/MI-MDHHS-SC20317/2020;North America;USA
USA/MI-MDHHS-SC20318/2020;North America;USA
USA/MI-MDHHS-SC20319/2020;North America;USA
USA/MI-MDHHS-SC20320/2020;North America;USA
USA/MI-MDHHS-SC20321/2020;North America;USA
USA/MI-MDHHS-SC20322/2020;North America;USA
USA/MI-MDHHS-SC20323/2020;North America;USA
USA/MI-MDHHS-SC20324/2020;North America;USA
USA/MI-MDHHS-SC20325/2020;North America;USA
USA/MI-MDHHS-SC20326/2020;North America;USA
USA/MI-MDHHS-SC20327/2020;North America;USA
USA/MI-MDHHS-SC20328/2020;North America;USA
USA/MI-MDHHS-SC20329/2020;North America;USA
USA/MI-MDHHS-SC20330/2020;North America;USA
USA/MI-MDHHS-SC20332/2020;North America;USA
USA/MI-MDHHS-SC20333/2020;North America;USA
USA/MI-MDHHS-SC20334/2020;North America;USA
USA/MI-MDHHS-SC20335/2020;North America;USA
USA/MI-MDHHS-SC20336/2020;North America;USA
USA/MI-MDHHS-SC20337/2020;North America;USA
USA/MI-MDHHS-SC20338/2020;North America;USA
USA/MI-MDHHS-SC20339/2020;North America;USA
USA/MI-MDHHS-SC20340/2020;North America;USA
USA/MI-MDHHS-SC20341/2020;North America;USA
USA/MI-MDHHS-SC20342/2020;North America;USA
USA/MI-MDHHS-SC20343/2020;North America;USA
USA/MI-MDHHS-SC20344/2020;North America;USA
USA/MI-MDHHS-SC20346/2020;North America;USA
USA/MI-MDHHS-SC20347/2020;North America;USA
USA/MI-MDHHS-SC20348/2020;North America;USA
USA/MI-MDHHS-SC20349/2020;North America;USA
USA/MI-MDHHS-SC20350/2020;North America;USA
USA/MI-MDHHS-SC20351/2020;North America;USA
USA/MI-MDHHS-SC20352/2020;North America;USA
USA/MI-MDHHS-SC20353/2020;North America;USA
USA/MI-MDHHS-SC20354/2020;North America;USA
USA/MI-MDHHS-SC20355/2020;North America;USA
USA/MI-MDHHS-SC20356/2020;North America;USA
USA/MI-MDHHS-SC20357/2020;North America;USA
USA/MI-MDHHS-SC20358/2020;North America;USA
USA/MI-MDHHS-SC20359/2020;North America;USA
USA/MI-MDHHS-SC20360/2020;North America;USA
USA/MI-MDHHS-SC20361/2020;North America;USA
USA/MI-MDHHS-SC20362/2020;North America;USA
USA/MI-MDHHS-SC20363/2020;North America;USA
USA/MI-MDHHS-SC20364/2020;North America;USA
USA/MI-MDHHS-SC20365/2020;North America;USA
USA/MI-MDHHS-SC20366/2020;North America;USA
USA/MI-MDHHS-SC20367/2020;North America;USA
USA/MI-MDHHS-SC20368/2020;North America;USA
USA/MI-MDHHS-SC20369/2020;North America;USA
USA/MI-MDHHS-SC20371/2020;North America;USA
USA/MI-MDHHS-SC20372/2020;North America;USA
USA/MI-MDHHS-SC20373/2020;North America;USA
USA/MI-MDHHS-SC20374/2020;North America;USA
USA/MI-MDHHS-SC20375/2020;North America;USA
USA/MI-MDHHS-SC20376/2020;North America;USA
USA/MI-MDHHS-SC20377/2020;North America;USA
USA/MI-MDHHS-SC20378/2020;North America;USA
USA/MI-MDHHS-SC20379/2020;North America;USA
USA/MI-MDHHS-SC20380/2020;North America;USA
USA/MI-MDHHS-SC20381/2020;North America;USA
USA/MI-MDHHS-SC20382/2020;North America;USA
USA/MI-MDHHS-SC20383/2020;North America;USA
USA/MI-MDHHS-SC20384/2020;North America;USA
USA/MI-MDHHS-SC20385/2020;North America;USA
USA/MI-MDHHS-SC20386/2020;North America;USA
USA/MI-MDHHS-SC20387/2020;North America;USA
USA/MI-MDHHS-SC20388/2020;North America;USA
USA/MI-MDHHS-SC20389/2020;North America;USA
USA/MI-MDHHS-SC20492/2020;North America;USA
USA/MI-MDHHS-SC20555/2020;North America;USA
USA/MI-MDHHS-SC20556/2020;North America;USA
USA/MI-MDHHS-SC20557/2020;North America;USA
USA/MI-MDHHS-SC20558/2020;North America;USA
USA/MI-MDHHS-SC20559/2020;North America;USA
USA/MI-MDHHS-SC20560/2020;North America;USA
USA/MI-MDHHS-SC20561/2020;North America;USA
USA/MI-MDHHS-SC20562/2020;North America;USA
USA/MI-MDHHS-SC20563/2020;North America;USA
USA/MI-MDHHS-SC20564/2020;North America;USA
USA/MI-MDHHS-SC20565/2020;North America;USA
USA/MI-MDHHS-SC20566/2020;North America;USA
USA/MI-MDHHS-SC20567/2020;North America;USA
USA/MI-MDHHS-SC20568/2020;North America;USA
USA/MI-MDHHS-SC20569/2020;North America;USA
USA/MI-MDHHS-SC20570/2020;North America;USA
USA/MI-MDHHS-SC20571/2020;North America;USA
USA/MI-MDHHS-SC20572/2020;North America;USA
USA/MI-MDHHS-SC20573/2020;North America;USA
USA/MI-MDHHS-SC20574/2020;North America;USA
USA/MI-MDHHS-SC20575/2020;North America;USA
USA/MI-MDHHS-SC20576/2020;North America;USA
USA/MI-MDHHS-SC20577/2020;North America;USA
USA/MI-MDHHS-SC20578/2020;North America;USA
USA/MI-MDHHS-SC20579/2020;North America;USA
USA/MI-MDHHS-SC20580/2020;North America;USA
USA/MI-MDHHS-SC20581/2020;North America;USA
USA/MI-MDHHS-SC20582/2020;North America;USA
USA/MI-MDHHS-SC20583/2020;North America;USA
USA/MI-MDHHS-SC20584/2020;North America;USA
USA/MI-MDHHS-SC20585/2020;North America;USA
USA/MI-MDHHS-SC20586/2020;North America;USA
USA/MI-MDHHS-SC20587/2020;North America;USA
USA/MI-MDHHS-SC20588/2020;North America;USA
USA/MI-MDHHS-SC20589/2020;North America;USA
USA/MI-MDHHS-SC20590/2020;North America;USA
USA/MI-MDHHS-SC20591/2020;North America;USA
USA/MI-MDHHS-SC20592/2020;North America;USA
USA/MI-MDHHS-SC20593/2020;North America;USA
USA/MI-MDHHS-SC20594/2020;North America;USA
USA/MI-MDHHS-SC20595/2020;North America;USA
USA/MI-MDHHS-SC20596/2020;North America;USA
USA/MI-MDHHS-SC20597/2020;North America;USA
USA/MI-MDHHS-SC20598/2020;North America;USA
USA/MI-MDHHS-SC20599/2020;North America;USA
USA/MI-MDHHS-SC20600/2020;North America;USA
USA/MI-MDHHS-SC20601/2020;North America;USA
USA/MI-MDHHS-SC20602/2020;North America;USA
USA/MI-MDHHS-SC20603/2020;North America;USA
USA/MI-MDHHS-SC20604/2020;North America;USA
USA/MI-MDHHS-SC20605/2020;North America;USA
USA/MI-MDHHS-SC20606/2020;North America;USA
USA/MI-MDHHS-SC20607/2020;North America;USA
USA/MI-MDHHS-SC20608/2020;North America;USA
USA/MI-MDHHS-SC20609/2020;North America;USA
USA/MI-MDHHS-SC20610/2020;North America;USA
USA/MI-MDHHS-SC20611/2020;North America;USA
USA/MI-MDHHS-SC20612/2020;North America;USA
USA/MI-MDHHS-SC20613/2020;North America;USA
USA/MI-MDHHS-SC20614/2020;North America;USA
USA/MI-MDHHS-SC20615/2020;North America;USA
USA/MI-MDHHS-SC20616/2020;North America;USA
USA/MI-MDHHS-SC20617/2020;North America;USA
USA/MI-MDHHS-SC20618/2020;North America;USA
USA/MI-MDHHS-SC20619/2020;North America;USA
USA/MI-MDHHS-SC20620/2020;North America;USA
USA/MI-MDHHS-SC20621/2020;North America;USA
USA/MI-MDHHS-SC20622/2020;North America;USA
USA/MI-MDHHS-SC20623/2020;North America;USA
USA/MI-MDHHS-SC20624/2020;North America;USA
USA/MI-MDHHS-SC20625/2020;North America;USA
USA/MI-MDHHS-SC20626/2020;North America;USA
USA/MI-MDHHS-SC20627/2020;North America;USA
USA/MI-MDHHS-SC20628/2020;North America;USA
USA/MI-MDHHS-SC20629/2020;North America;USA
USA/MI-MDHHS-SC20630/2020;North America;USA
USA/MI-MDHHS-SC20631/2020;North America;USA
USA/MI-MDHHS-SC20632/2020;North America;USA
USA/MI-MDHHS-SC20633/2020;North America;USA
USA/MI-MDHHS-SC20634/2020;North America;USA
USA/MI-MDHHS-SC20635/2020;North America;USA
USA/MI-MDHHS-SC20636/2020;North America;USA
USA/MI-MDHHS-SC20637/2020;North America;USA
USA/MI-MDHHS-SC20638/2020;North America;USA
USA/MI-MDHHS-SC20639/2020;North America;USA
USA/MI-MDHHS-SC20640/2020;North America;USA
USA/MI-MDHHS-SC20641/2020;North America;USA
USA/MI-MDHHS-SC20642/2020;North America;USA
USA/MI-MDHHS-SC20643/2020;North America;USA
USA/MI-MDHHS-SC20644/2020;North America;USA
USA/MI-MDHHS-SC20645/2020;North America;USA
USA/MI-MDHHS-SC20646/2020;North America;USA
USA/MI-MDHHS-SC20647/2020;North America;USA
USA/MI-MDHHS-SC20648/2020;North America;USA
USA/MI-MDHHS-SC20649/2020;North America;USA
USA/MI-MDHHS-SC20650/2020;North America;USA
USA/MI-MDHHS-SC20651/2020;North America;USA
USA/MI-MDHHS-SC20652/2020;North America;USA
USA/MI-MDHHS-SC20653/2020;North America;USA
USA/MI-MDHHS-SC20654/2020;North America;USA
USA/MI-MDHHS-SC23042/2021;North America;USA
USA/MI-QDX-1046/2020;North America;USA
USA/MI-QDX-1047/2020;North America;USA
USA/MI-QDX-1048/2020;North America;USA
USA/MI-QDX-1050/2020;North America;USA
USA/MI-QDX-1052/2020;North America;USA
USA/MI-QDX-1099/2020;North America;USA
USA/MI-QDX-1120/2020;North America;USA
USA/MI-QDX-1121/2020;North America;USA
USA/MI-QDX-1122/2020;North America;USA
USA/MI-QDX-1123/2020;North America;USA
USA/MI-QDX-1124/2020;North America;USA
USA/MI-QDX-1125/2020;North America;USA
USA/MI-QDX-1126/2020;North America;USA
USA/MI-QDX-1127/2020;North America;USA
USA/MI-QDX-1128/2020;North America;USA
USA/MI-QDX-1129/2020;North America;USA
USA/MI-QDX-1130/2020;North America;USA
